expression,meaning,example,domain
que@rea,"real aspect of question, query",que@rea = combined cognition,cognitive
que@sad,"express sadness through question, query",que@sad,communication
que@slo,"slope, incline aspect of question, query","que@slo = slope, incline thinking",cognitive
que@str,"strong aspect of question, query",que@str = strong thinking,cognitive
que@und,"understanding aspect of question, query",que@und = combined cognition,cognitive
que@wea,"weak aspect of question, query",que@wea = weak thinking,cognitive
que@wis,"wisdom, insight aspect of question, query",que@wis = combined cognition,cognitive
rab@unl,"unlikely, doubtful (5-30% conf of rabbit, lagomorph",rab@unl,living
rai@puk,"put, place, set down of rain, precipitation",rai@puk,abstract
rdc@pap,"paper, sheet of reduce, fold structure to valu",rdc@pap,abstract
rea@ans,"answer, reply aspect of real",rea@ans = combined cognition,cognitive
rea@bad,bad aspect of real,rea@bad = bad thinking,cognitive
rea@bea,beautiful aspect of real,rea@bea = beautiful thinking,cognitive
rea@bel,below aspect of real,rea@bel = combined cognition,cognitive
rea@con,contraction aspect of real,rea@con = contraction thinking,cognitive
rea@dna,"DNA, genetic code of real",rea@dna,abstract
rea@dou,doubting aspect of real,rea@dou = combined cognition,cognitive
rea@goo,good aspect of real,rea@goo = good thinking,cognitive
rea@ide,"idea, concept, notion aspect of real",rea@ide = combined cognition,cognitive
rea@imp,"implode, collapse aspect of real","rea@imp = implode, collapse thinking",cognitive
rea@mem,"memory, storage aspect of real",rea@mem = combined cognition,cognitive
rea@nec,"neck, connect aspect of real","rea@nec = neck, connect thinking",cognitive
rea@per,"perceive, sense aspect of real","rea@per = perceive, sense thinking",cognitive
rea@que,"question, query aspect of real",rea@que = combined cognition,cognitive
rea@slo,"slope, incline aspect of real","rea@slo = slope, incline thinking",cognitive
rea@str,strong aspect of real,rea@str = strong thinking,cognitive
rea@und,understanding aspect of real,rea@und = combined cognition,cognitive
rea@wea,weak aspect of real,rea@wea = weak thinking,cognitive
rea@wis,"wisdom, insight aspect of real",rea@wis = combined cognition,cognitive
red@mac,"machine, device of read, parse, load",red@mac,abstract
ref@and,"conjunction of reference, point to",ref@and,abstract
rem@thn,"thin, narrow, slender of remembering",rem@thn,cognitive
res@duc,"duck, waterfowl of rest, stillness",res@duc,physical
rho@mcal,"miscalibration, confidence not of rho, density",rho@mcal,abstract
rid@raw,"raw, uncooked of ride, travel on",rid@raw,abstract
rid@tid,"tide, ebb and flow of ride, travel on",rid@tid,abstract
rig@lef,balance of left in right,rig@lef,abstract
rim@pot,"pot, cook vessel of periphery, edge region, low co",rim@pot,abstract
ris@cof,"coffee, caffeine of rising, ascending",ris@cof,physical
rit@lay,"layer, level of ritual, ceremony",rit@lay,abstract
riv@bad,"bad aspect of river, stream","riv@bad = describes river, stream",spatial
riv@bea,"beautiful aspect of river, stream","riv@bea = describes river, stream",spatial
riv@con,"contraction aspect of river, stream","riv@con = describes river, stream",spatial
riv@fre,"freezing within river, stream",riv@fre = location combination,spatial
riv@goo,"good aspect of river, stream","riv@goo = describes river, stream",spatial
riv@imp,"implode, collapse aspect of river, stream","riv@imp = describes river, stream",spatial
riv@lan,"land, arrive within river, stream",riv@lan = location combination,spatial
riv@mou,"mouth within river, stream",riv@mou = location combination,spatial
riv@mud,"mud, wet earth of river, stream",riv@mud,abstract
riv@nec,"neck, connect aspect of river, stream","riv@nec = describes river, stream",spatial
riv@per,"perceive, sense aspect of river, stream","riv@per = describes river, stream",spatial
riv@sea,"season, time within river, stream",riv@sea = location combination,spatial
riv@sky,"sky, above within river, stream",riv@sky = location combination,spatial
riv@slo,"slope, incline aspect of river, stream","riv@slo = describes river, stream",spatial
riv@str,"strong aspect of river, stream","riv@str = describes river, stream",spatial
riv@val,"valley, low point within river, stream",riv@val = location combination,spatial
riv@wea,"weak aspect of river, stream","riv@wea = describes river, stream",spatial
riv@woo,"wood/plant matter within river, stream",riv@woo = location combination,spatial
rls@wol,"wolf of release, let go",rls@wol,abstract
rna@embd,"embed, vector representation of RNA, messenger",rna@embd,abstract
roo@evi,"evidence, grounds for belief of root, base",roo@evi,living
rop@crt,"certain, verified (95-100% con of rope, cord",rop@crt,abstract
rop@dre,"dreaming of rope, cord",rop@dre,abstract
rop@tem,"storm, tempest of rope, cord",rop@tem,abstract
ros@bag,"bag, carry of roast, cook dry heat",ros@bag,abstract
ros@prec,"pre-crystallization: multiple  of roast, cook dry heat",ros@prec,abstract
rou@bou,"boundary, limit of rough",rou@bou,physical
rtr@bac,"backward of retry, attempt again",rtr@bac,abstract
rtr@srv,"server, host of retry, attempt again",rtr@srv,abstract
rum@ang,"express anger through rumor, gossip",rum@ang,communication
rum@cal,"express calm through rumor, gossip",rum@cal,communication
rum@con,"express contraction through rumor, gossip",rum@con,communication
rum@fru,"express fruit, produce through rumor, gossip",rum@fru,communication
rum@joy,"express joy through rumor, gossip",rum@joy,communication
rum@sad,"express sadness through rumor, gossip",rum@sad,communication
run@age,"agent aspect of run, fast move","run@age = when to run, fast move",temporal
run@all,"all, every while run, fast move","run@all = run, fast move state",action
run@alw,"always aspect of run, fast move","run@alw = when to run, fast move",temporal
run@awa,"away, distant from, departing while run, fast move","run@awa = run, fast move state",action
run@bac,"backward direction of run, fast move","run@bac = run, fast move backward",spatial
run@bad,"bad form of run, fast move",run@bad = execute in bad way,action
run@bea,"beautiful form of run, fast move",run@bea = execute in beautiful way,action
run@cen,"center direction of run, fast move","run@cen = run, fast move center",spatial
run@cmt,"committing, crystallizing, pat of run, fast move",run@cmt,action
run@con,"contraction form of run, fast move",run@con = execute in contraction way,action
run@dow,"downward direction of run, fast move","run@dow = run, fast move downward",spatial
run@dre,"dreaming while run, fast move","run@dre = run, fast move state",action
run@dur,"duration, time span, interval aspect of run, fast move","run@dur = when to run, fast move",temporal
run@edg,"edge direction of run, fast move","run@edg = run, fast move edge",spatial
run@ene,"enemy while run, fast move","run@ene = run, fast move state",action
run@far,"far direction of run, fast move","run@far = run, fast move far",spatial
run@fro,"in front direction of run, fast move","run@fro = run, fast move in front",spatial
run@ful,"full, complete while run, fast move","run@ful = run, fast move state",action
run@fut,"future aspect of run, fast move","run@fut = when to run, fast move",temporal
run@goo,"good form of run, fast move",run@goo = execute in good way,action
run@hun,"hunger, appetite while run, fast move","run@hun = run, fast move state",action
run@imp,"implode, collapse form of run, fast move","run@imp = execute in implode, collapse way",action
run@ins,"inside direction of run, fast move","run@ins = run, fast move inside",spatial
run@lef,"left direction of run, fast move","run@lef = run, fast move left",spatial
run@mom,"moment, instant aspect of run, fast move","run@mom = when to run, fast move",temporal
run@nea,"near direction of run, fast move","run@nea = run, fast move near",spatial
run@nec,"neck, connect form of run, fast move","run@nec = execute in neck, connect way",action
run@nev,"never aspect of run, fast move","run@nev = when to run, fast move",temporal
run@now,"present moment aspect of run, fast move","run@now = when to run, fast move",temporal
run@oft,"often aspect of run, fast move","run@oft = when to run, fast move",temporal
run@out,"outside direction of run, fast move","run@out = run, fast move outside",spatial
run@pai,"paint, visual art while run, fast move","run@pai = run, fast move state",action
run@pas,"past aspect of run, fast move","run@pas = when to run, fast move",temporal
run@per,"perceive, sense form of run, fast move","run@per = execute in perceive, sense way",action
run@pla,"plasma, energetic while run, fast move","run@pla = run, fast move state",action
run@rig,"right direction of run, fast move","run@rig = run, fast move right",spatial
run@sle,"sleet, ice rain while run, fast move","run@sle = run, fast move state",action
run@slo,"slope, incline form of run, fast move","run@slo = execute in slope, incline way",action
run@str,"strong form of run, fast move",run@str = execute in strong way,action
run@up,"upward direction of run, fast move","run@up = run, fast move upward",spatial
run@wak,"walk, step, pace while run, fast move","run@wak = run, fast move state",action
run@wea,"weak form of run, fast move",run@wea = execute in weak way,action
run@yet,"yet, still, up to now aspect of run, fast move","run@yet = when to run, fast move",temporal
rus@bar,"baraka, spiritual grace of rust, oxidation, corrosion",rus@bar,physical
sad@ang,anger within sadness,sad@ang = emotional layering,emotion
sad@cal,calm within sadness,sad@cal = emotional layering,emotion
sad@cat,"catalyst, accelerator with sadness",sad@cat = emotionally charged action,emotion
sad@des,"desire, want strongly, crave within sadness",sad@des = emotional layering,emotion
sad@dia,"diameter, across within sadness",sad@dia = emotional layering,emotion
sad@gra,"grass, lawn within sadness",sad@gra = emotional layering,emotion
sad@hop,hope within sadness,sad@hop = emotional layering,emotion
sad@joy,joy within sadness,sad@joy = emotional layering,emotion
sad@jum,"jump, leap with sadness",sad@jum = emotionally charged action,emotion
sad@kin,"bittersweet blend: kind, gentle in sadness",sad@kin,emotion
sad@lea,leader with sadness,sad@lea = emotionally charged action,emotion
sad@lov,love within sadness,sad@lov = emotional layering,emotion
sad@pru,"bittersweet blend: prudence, wisdom in action in sadness",sad@pru,emotion
sad@pul,pulling with sadness,sad@pul = emotionally charged action,emotion
sad@pus,pushing with sadness,sad@pus = emotionally charged action,emotion
sad@run,"run, fast move with sadness",sad@run = emotionally charged action,emotion
sad@thr,"thread, string with sadness",sad@thr = emotionally charged action,emotion
sad@wal,"wall, barrier with sadness",sad@wal = emotionally charged action,emotion
sad@wro,"wrong, incorrect, mistaken within sadness",sad@wro = emotional layering,emotion
saf@pal,"palace, royal of safe, secure",saf@pal,abstract
sal@rfn,refining: gaining precision/de of salt/preservation,sal@rfn,physical
sam@rep,"reptile, cold-blood of same",sam@rep,abstract
sat@rem,"remembering of satellite, orbit",sat@rem,abstract
saw@rna,"RNA, messenger of saw, cut",saw@rna,abstract
sca@bad,"bad quality of scarf, neck","sca@bad = bad scarf, neck",physical
sca@bea,"beautiful quality of scarf, neck","sca@bea = beautiful scarf, neck",physical
sca@bri,"hope, clarity, intelligence aspect of scarf, neck","sca@bri = the hope, clarity, intelligence scarf, neck",physical
sca@col,"distant, aloof, calm aspect of scarf, neck","sca@col = the distant, aloof, calm scarf, neck",physical
sca@con,"contraction quality of scarf, neck","sca@con = contraction scarf, neck",physical
sca@dar,"dark, ignorance aspect of scarf, neck","sca@dar = the dark, ignorance scarf, neck",physical
sca@goo,"good quality of scarf, neck","sca@goo = good scarf, neck",physical
sca@har,"hard, resistant aspect of scarf, neck","sca@har = the hard, resistant scarf, neck",physical
sca@hot,"passion, anger, urgency aspect of scarf, neck","sca@hot = the passion, anger, urgency scarf, neck",physical
sca@imp,"implode, collapse quality of scarf, neck","sca@imp = implode, collapse scarf, neck",physical
sca@let,"let, allow, permission of scarf, neck",sca@let,abstract
sca@nec,"neck, connect quality of scarf, neck","sca@nec = neck, connect scarf, neck",physical
sca@per,"perceive, sense quality of scarf, neck","sca@per = perceive, sense scarf, neck",physical
sca@rou,"rough aspect of scarf, neck","sca@rou = the rough scarf, neck",physical
sca@sha,"shame aspect of scarf, neck","sca@sha = the shame scarf, neck",physical
sca@slo,"slope, incline quality of scarf, neck","sca@slo = slope, incline scarf, neck",physical
sca@smo,"smooth aspect of scarf, neck","sca@smo = the smooth scarf, neck",physical
sca@sof,"soft, yielding aspect of scarf, neck","sca@sof = the soft, yielding scarf, neck",physical
sca@str,"strong quality of scarf, neck","sca@str = strong scarf, neck",physical
sca@tex,"texture, feel aspect of scarf, neck","sca@tex = the texture, feel scarf, neck",physical
sca@wai,"wait, pause, delay aspect of scarf, neck","sca@wai = the wait, pause, delay scarf, neck",physical
sca@wea,"weak quality of scarf, neck","sca@wea = weak scarf, neck",physical
sci@dri,"drink, beverage of scissors, cut",sci@dri,abstract
sci@sgl,"signal, emit notification of scissors, cut",sci@sgl,abstract
scu@try,"try, attempt of sculpture, form",scu@try,abstract
sea@bad,"bad aspect of season, time","sea@bad = describes season, time",spatial
sea@bea,"beautiful aspect of season, time","sea@bea = describes season, time",spatial
sea@con,"contraction aspect of season, time","sea@con = describes season, time",spatial
sea@fre,"freezing within season, time",sea@fre = location combination,spatial
sea@goo,"good aspect of season, time","sea@goo = describes season, time",spatial
sea@imp,"implode, collapse aspect of season, time","sea@imp = describes season, time",spatial
sea@lan,"land, arrive within season, time",sea@lan = location combination,spatial
sea@mou,"mouth within season, time",sea@mou = location combination,spatial
sea@nec,"neck, connect aspect of season, time","sea@nec = describes season, time",spatial
sea@per,"perceive, sense aspect of season, time","sea@per = describes season, time",spatial
sea@riv,"river, stream within season, time",sea@riv = location combination,spatial
sea@sky,"sky, above within season, time",sea@sky = location combination,spatial
sea@slo,"slope, incline aspect of season, time","sea@slo = describes season, time",spatial
sea@str,"strong aspect of season, time","sea@str = describes season, time",spatial
sea@val,"valley, low point within season, time",sea@val = location combination,spatial
sea@wea,"weak aspect of season, time","sea@wea = describes season, time",spatial
sea@woo,"wood/plant matter within season, time",sea@woo = location combination,spatial
sec@sar,"cycle of rebirth, worldly exis of secret, hidden",sec@sar,abstract
see@cmpr,"compare, contrast, evaluate di of seeing",see@cmpr,cognitive
see@rls,"release, let go of seeing",see@rls,cognitive
seh@rub,"rubber, elastic of see, perceive visually",seh@rub,action
sen@cmpr,"compare, contrast, evaluate di of sentence",sen@cmpr,abstract
set@rig,"right of set, collection",set@rig,abstract
setl@alg,aligned with intent (LLM succe of settled: confident conclusion ,setl@alg,abstract
she@pen,"pen, write of sheep, ovine",she@pen,living
shp@pre,"pressure, force of ship, large vessel",shp@pre,abstract
sid@gro,"learning, relationship deepeni of side, flank",sid@gro,spatial
sit@eid,"eidos, form, essence, Platonic of sit, rest",sit@eid,action
ske@acr,"across, from one side to other of drawing, sketch",ske@acr,abstract
ske@nee,"needle, sew of drawing, sketch",ske@nee,abstract
ski@bit,"bitter, acrid of skin",ski@bit,living
sky@bad,"bad aspect of sky, above","sky@bad = describes sky, above",spatial
sky@bea,"beautiful aspect of sky, above","sky@bea = describes sky, above",spatial
sky@con,"contraction aspect of sky, above","sky@con = describes sky, above",spatial
sky@fre,"freezing within sky, above",sky@fre = location combination,spatial
sky@goo,"good aspect of sky, above","sky@goo = describes sky, above",spatial
sky@imp,"implode, collapse aspect of sky, above","sky@imp = describes sky, above",spatial
sky@lan,"land, arrive within sky, above",sky@lan = location combination,spatial
sky@mou,"mouth within sky, above",sky@mou = location combination,spatial
sky@nec,"neck, connect aspect of sky, above","sky@nec = describes sky, above",spatial
sky@per,"perceive, sense aspect of sky, above","sky@per = describes sky, above",spatial
sky@riv,"river, stream within sky, above",sky@riv = location combination,spatial
sky@sea,"season, time within sky, above",sky@sea = location combination,spatial
sky@slo,"slope, incline aspect of sky, above","sky@slo = describes sky, above",spatial
sky@str,"strong aspect of sky, above","sky@str = describes sky, above",spatial
sky@val,"valley, low point within sky, above",sky@val = location combination,spatial
sky@wea,"weak aspect of sky, above","sky@wea = describes sky, above",spatial
sky@woo,"wood/plant matter within sky, above",sky@woo = location combination,spatial
sle@ang,"anger of sleet, ice rain","sle@ang = how sleet, ice rain feels",emotion
sle@cal,"calm of sleet, ice rain","sle@cal = how sleet, ice rain feels",emotion
sle@des,"desire, want strongly, crave of sleet, ice rain","sle@des = how sleet, ice rain feels",emotion
sle@dia,"diameter, across of sleet, ice rain","sle@dia = how sleet, ice rain feels",emotion
sle@gra,"grass, lawn of sleet, ice rain","sle@gra = how sleet, ice rain feels",emotion
sle@hop,"hope of sleet, ice rain","sle@hop = how sleet, ice rain feels",emotion
sle@joy,"joy of sleet, ice rain","sle@joy = how sleet, ice rain feels",emotion
sle@lov,"love of sleet, ice rain","sle@lov = how sleet, ice rain feels",emotion
sle@sad,"sadness of sleet, ice rain","sle@sad = how sleet, ice rain feels",emotion
sle@wro,"wrong, incorrect, mistaken of sleet, ice rain","sle@wro = how sleet, ice rain feels",emotion
slo@embd,"embed, vector representation of slope, incline",slo@embd,spatial
sma@big,"balance of large, big in small, tiny",sma@big,abstract
soc@bad,"bad of sock, foot cover",soc@bad,abstract
sof@col,"distant, aloof, calm variant of soft, yielding",sof@col = property blend,physical
sof@har,"hard, resistant variant of soft, yielding",sof@har = property blend,physical
sof@hot,"passion, anger, urgency variant of soft, yielding",sof@hot = property blend,physical
sof@tex,"texture, feel variant of soft, yielding",sof@tex = property blend,physical
sof@wai,"wait, pause, delay variant of soft, yielding",sof@wai = property blend,physical
son@pro,"protecting of song, tune",son@pro,abstract
sou@kla,"clay, moldable earth of south, down-direction",sou@kla,spatial
spa@joy,"joy of sparse, scattered",spa@joy,physical
spa@spr,"spring, renew of sparse, scattered",spa@spr,physical
spcy@dam,"blocking of spicy, hot flavor",spcy@dam,abstract
spcy@ruf,"rough, coarse, uneven texture of spicy, hot flavor",spcy@ruf,abstract
sph@cvg,"converging, agreeing (LLM succ of sphere, ball",sph@cvg,spatial
sqr@agg,"aggregate, combine, summarize  of square, x^2",sqr@agg,abstract
sta@wud,"wood, timber, woody material of stability",sta@wud,temporal
str@bad,bad form of strong,str@bad = combined quality,abstract
str@bea,beautiful form of strong,str@bea = combined quality,abstract
str@con,contraction form of strong,str@con = combined quality,abstract
str@goo,good form of strong,str@goo = combined quality,abstract
str@imp,"implode, collapse form of strong",str@imp = combined quality,abstract
str@nec,"neck, connect form of strong",str@nec = combined quality,abstract
str@per,"perceive, sense form of strong",str@per = combined quality,abstract
str@stk,stuck: no clear path forward of strong,str@stk,living
stw@con,"contraction of stew, slow cook",stw@con,abstract
sub@rar,"rare of subtraction, minus",sub@rar,abstract
suf@psi,"psi, mind of suffer, endure pain",suf@psi,cognitive
swe@loc,"lock, secure of sweet, sugary",swe@loc,abstract
swm@riv,"river, stream of swim, move through water",swm@riv,action
tan@man,"many, numerous of tangent, touch",tan@man,spatial
tao@sco,"scope, boundary, extent of the Way, cosmic path, natural ",tao@sco,abstract
tax@lir,"ritual propriety, proper condu of taxi, cab",tax@lir,abstract
tbl@unt,"until, up to the time that of table, tabular format",tbl@unt,abstract
tel@opa,"opaque, blocking of telling",tel@opa,abstract
telo@emp,"empty set, null result of telos, purpose, end, final cau",telo@emp,abstract
tem@bad,"bad aspect of storm, tempest","tem@bad = describes storm, tempest",spatial
tem@bea,"beautiful aspect of storm, tempest","tem@bea = describes storm, tempest",spatial
tem@con,"contraction aspect of storm, tempest","tem@con = describes storm, tempest",spatial
tem@goo,"good aspect of storm, tempest","tem@goo = describes storm, tempest",spatial
tem@imp,"implode, collapse aspect of storm, tempest","tem@imp = describes storm, tempest",spatial
tem@nec,"neck, connect aspect of storm, tempest","tem@nec = describes storm, tempest",spatial
tem@per,"perceive, sense aspect of storm, tempest","tem@per = describes storm, tempest",spatial
tem@slo,"slope, incline aspect of storm, tempest","tem@slo = describes storm, tempest",spatial
tem@str,"strong aspect of storm, tempest","tem@str = describes storm, tempest",spatial
tem@wea,"weak aspect of storm, tempest","tem@wea = describes storm, tempest",spatial
ten@bad,"bad quality of tension, strain","ten@bad = bad tension, strain",physical
ten@bea,"beautiful quality of tension, strain","ten@bea = beautiful tension, strain",physical
ten@bri,"hope, clarity, intelligence aspect of tension, strain","ten@bri = the hope, clarity, intelligence tension, strain",physical
ten@col,"distant, aloof, calm aspect of tension, strain","ten@col = the distant, aloof, calm tension, strain",physical
ten@con,"contraction quality of tension, strain","ten@con = contraction tension, strain",physical
ten@dar,"dark, ignorance aspect of tension, strain","ten@dar = the dark, ignorance tension, strain",physical
ten@goo,"good quality of tension, strain","ten@goo = good tension, strain",physical
ten@har,"hard, resistant aspect of tension, strain","ten@har = the hard, resistant tension, strain",physical
ten@hot,"passion, anger, urgency aspect of tension, strain","ten@hot = the passion, anger, urgency tension, strain",physical
ten@imp,"implode, collapse quality of tension, strain","ten@imp = implode, collapse tension, strain",physical
ten@nec,"neck, connect quality of tension, strain","ten@nec = neck, connect tension, strain",physical
ten@per,"perceive, sense quality of tension, strain","ten@per = perceive, sense tension, strain",physical
ten@rou,"rough aspect of tension, strain","ten@rou = the rough tension, strain",physical
ten@sha,"shame aspect of tension, strain","ten@sha = the shame tension, strain",physical
ten@slo,"slope, incline quality of tension, strain","ten@slo = slope, incline tension, strain",physical
ten@smo,"smooth aspect of tension, strain","ten@smo = the smooth tension, strain",physical
ten@sof,"soft, yielding aspect of tension, strain","ten@sof = the soft, yielding tension, strain",physical
ten@str,"strong quality of tension, strain","ten@str = strong tension, strain",physical
ten@tex,"texture, feel aspect of tension, strain","ten@tex = the texture, feel tension, strain",physical
ten@wai,"wait, pause, delay aspect of tension, strain","ten@wai = the wait, pause, delay tension, strain",physical
ten@wea,"weak quality of tension, strain","ten@wea = weak tension, strain",physical
tes@awa,"away, distant from, departing of test, verify, check",tes@awa,abstract
tex@col,"distant, aloof, calm variant of texture, feel",tex@col = property blend,physical
tex@dry,"dry, parched of texture, feel",tex@dry,abstract
tex@har,"hard, resistant variant of texture, feel",tex@har = property blend,physical
tex@hot,"passion, anger, urgency variant of texture, feel",tex@hot = property blend,physical
tex@nor,"north, up-direction of texture, feel",tex@nor,abstract
tex@sof,"soft, yielding variant of texture, feel",tex@sof = property blend,physical
tex@sto,"stone/mineral of texture, feel",tex@sto,abstract
tex@wai,"wait, pause, delay variant of texture, feel",tex@wai = property blend,physical
tha@con,"contraction of than, compared to",tha@con,abstract
tha@daw,"dawn of than, compared to",tha@daw,abstract
tha@flat,"attention flatness, unfocused  of than, compared to",tha@flat,abstract
thi@hof,"handoff, transfer work of thinking",thi@hof,cognitive
thn@drv,"drive, operate vehicle of thin, narrow, slender",thn@drv,physical
thr@age,"agent aspect of thread, string","thr@age = when to thread, string",temporal
thr@all,"all, every while thread, string","thr@all = thread, string state",action
thr@alw,"always aspect of thread, string","thr@alw = when to thread, string",temporal
thr@awa,"away, distant from, departing while thread, string","thr@awa = thread, string state",action
thr@bac,"backward direction of thread, string","thr@bac = thread, string backward",spatial
thr@bad,"bad form of thread, string",thr@bad = execute in bad way,action
thr@bea,"beautiful form of thread, string",thr@bea = execute in beautiful way,action
thr@cen,"center direction of thread, string","thr@cen = thread, string center",spatial
thr@con,"contraction form of thread, string",thr@con = execute in contraction way,action
thr@dow,"downward direction of thread, string","thr@dow = thread, string downward",spatial
thr@dre,"dreaming while thread, string","thr@dre = thread, string state",action
thr@dur,"duration, time span, interval aspect of thread, string","thr@dur = when to thread, string",temporal
thr@edg,"edge direction of thread, string","thr@edg = thread, string edge",spatial
thr@ene,"enemy while thread, string","thr@ene = thread, string state",action
thr@far,"far direction of thread, string","thr@far = thread, string far",spatial
thr@fro,"in front direction of thread, string","thr@fro = thread, string in front",spatial
thr@ful,"full, complete while thread, string","thr@ful = thread, string state",action
thr@fut,"future aspect of thread, string","thr@fut = when to thread, string",temporal
thr@goo,"good form of thread, string",thr@goo = execute in good way,action
thr@hun,"hunger, appetite while thread, string","thr@hun = thread, string state",action
thr@imp,"implode, collapse form of thread, string","thr@imp = execute in implode, collapse way",action
thr@ins,"inside direction of thread, string","thr@ins = thread, string inside",spatial
thr@lef,"left direction of thread, string","thr@lef = thread, string left",spatial
thr@mom,"moment, instant aspect of thread, string","thr@mom = when to thread, string",temporal
thr@nea,"near direction of thread, string","thr@nea = thread, string near",spatial
thr@nec,"neck, connect form of thread, string","thr@nec = execute in neck, connect way",action
thr@nev,"never aspect of thread, string","thr@nev = when to thread, string",temporal
thr@now,"present moment aspect of thread, string","thr@now = when to thread, string",temporal
thr@oft,"often aspect of thread, string","thr@oft = when to thread, string",temporal
thr@out,"outside direction of thread, string","thr@out = thread, string outside",spatial
thr@pai,"paint, visual art while thread, string","thr@pai = thread, string state",action
thr@pas,"past aspect of thread, string","thr@pas = when to thread, string",temporal
thr@per,"perceive, sense form of thread, string","thr@per = execute in perceive, sense way",action
thr@pla,"plasma, energetic while thread, string","thr@pla = thread, string state",action
thr@rig,"right direction of thread, string","thr@rig = thread, string right",spatial
thr@sle,"sleet, ice rain while thread, string","thr@sle = thread, string state",action
thr@slo,"slope, incline form of thread, string","thr@slo = execute in slope, incline way",action
thr@str,"strong form of thread, string",thr@str = execute in strong way,action
thr@up,"upward direction of thread, string","thr@up = thread, string upward",spatial
thr@wak,"walk, step, pace while thread, string","thr@wak = thread, string state",action
thr@wea,"weak form of thread, string",thr@wea = execute in weak way,action
thr@yet,"yet, still, up to now aspect of thread, string","thr@yet = when to thread, string",temporal
thu@che,"chemical, reaction of thumb, grip",thu@che,abstract
tig@ash,"ash, burnt residue of tiger, big cat",tig@ash,living
til@far,"far of tilt, lean",til@far,spatial
tmo@era,"era, age of timeout, time exceeded",tmo@era,abstract
toe@hok,"hook, attach work of toe, balance",toe@hok,abstract
tog@spk,"speak, talk, say of together, jointly, in combinat",tog@spk,spatial
tok@fwd,"forward, pass along of token",tok@fwd,abstract
too@bad,"bad quality of tool, instrument","too@bad = bad tool, instrument",physical
too@bea,"beautiful quality of tool, instrument","too@bea = beautiful tool, instrument",physical
too@bri,"hope, clarity, intelligence aspect of tool, instrument","too@bri = the hope, clarity, intelligence tool, instrument",physical
too@col,"distant, aloof, calm aspect of tool, instrument","too@col = the distant, aloof, calm tool, instrument",physical
too@con,"contraction quality of tool, instrument","too@con = contraction tool, instrument",physical
too@dar,"dark, ignorance aspect of tool, instrument","too@dar = the dark, ignorance tool, instrument",physical
too@goo,"good quality of tool, instrument","too@goo = good tool, instrument",physical
too@har,"hard, resistant aspect of tool, instrument","too@har = the hard, resistant tool, instrument",physical
too@hot,"passion, anger, urgency aspect of tool, instrument","too@hot = the passion, anger, urgency tool, instrument",physical
too@imp,"implode, collapse quality of tool, instrument","too@imp = implode, collapse tool, instrument",physical
too@nec,"neck, connect quality of tool, instrument","too@nec = neck, connect tool, instrument",physical
too@per,"perceive, sense quality of tool, instrument","too@per = perceive, sense tool, instrument",physical
too@rou,"rough aspect of tool, instrument","too@rou = the rough tool, instrument",physical
too@sha,"shame aspect of tool, instrument","too@sha = the shame tool, instrument",physical
too@slo,"slope, incline quality of tool, instrument","too@slo = slope, incline tool, instrument",physical
too@smo,"smooth aspect of tool, instrument","too@smo = the smooth tool, instrument",physical
too@sof,"soft, yielding aspect of tool, instrument","too@sof = the soft, yielding tool, instrument",physical
too@str,"strong quality of tool, instrument","too@str = strong tool, instrument",physical
too@tex,"texture, feel aspect of tool, instrument","too@tex = the texture, feel tool, instrument",physical
too@wai,"wait, pause, delay aspect of tool, instrument","too@wai = the wait, pause, delay tool, instrument",physical
too@wea,"weak quality of tool, instrument","too@wea = weak tool, instrument",physical
top@aro,"around, surrounding, encirclin of top, upper",top@aro,spatial
top@bot,"contrast between top, upper and automated agent",top@bot,abstract
top@shp,"ship, large vessel of top, upper",top@shp,spatial
tpe@nar,"thin, narrow of type, data type",tpe@nar,abstract
tra@vod,"void, sparse region with few c of transformation",tra@vod,temporal
traj@ash,"ash, burnt residue of trajectory, path through meani",traj@ash,abstract
traj@rop,"rope, cord of trajectory, path through meani",traj@rop,abstract
tre@bad,bad tree,tre@bad = type of tree,living
tre@bea,beautiful tree,tre@bea = type of tree,living
tre@cat,"how tree can catalyst, accelerator",tre@cat = capability,living
tre@con,contraction tree,tre@con = type of tree,living
tre@goo,good tree,tre@goo = type of tree,living
tre@imp,"implode, collapse tree",tre@imp = type of tree,living
tre@jum,"how tree can jump, leap",tre@jum = capability,living
tre@lea,how tree can leader,tre@lea = capability,living
tre@nec,"neck, connect tree",tre@nec = type of tree,living
tre@per,"perceive, sense tree",tre@per = type of tree,living
tre@pul,how tree can pulling,tre@pul = capability,living
tre@pus,how tree can pushing,tre@pus = capability,living
tre@run,"how tree can run, fast move",tre@run = capability,living
tre@slo,"slope, incline tree",tre@slo = type of tree,living
tre@str,strong tree,tre@str = type of tree,living
tre@thr,"how tree can thread, string",tre@thr = capability,living
tre@wal,"how tree can wall, barrier",tre@wal = capability,living
tre@wea,weak tree,tre@wea = type of tree,living
tri@bad,"bad quality of triangle, three","tri@bad = bad triangle, three",physical
tri@bea,"beautiful quality of triangle, three","tri@bea = beautiful triangle, three",physical
tri@bri,"hope, clarity, intelligence aspect of triangle, three","tri@bri = the hope, clarity, intelligence triangle, three",physical
tri@col,"distant, aloof, calm aspect of triangle, three","tri@col = the distant, aloof, calm triangle, three",physical
