expression,meaning,example,domain,base_word,intensity_level,intensity_value,semantic_group
gro^0.2+thi^0.7,slight gro with strong thi,gro^0.2+thi^0.7 = slight gro with strong thi,Composite,gro|thi,slight+strong,0.44999999999999996,thoughtful growth
gro^0.2+thi^0.8,slight gro with intense thi,gro^0.2+thi^0.8 = slight gro with intense thi,Composite,gro|thi,slight+intense,0.5,thoughtful growth
gro^0.2+thi^0.9,slight gro with extreme thi,gro^0.2+thi^0.9 = slight gro with extreme thi,Composite,gro|thi,slight+extreme,0.55,thoughtful growth
gro^0.2+thi^1.0,slight gro with maximum thi,gro^0.2+thi^1.0 = slight gro with maximum thi,Composite,gro|thi,slight+maximum,0.6,thoughtful growth
gro^0.3+thi^0.7,subtle gro with strong thi,gro^0.3+thi^0.7 = subtle gro with strong thi,Composite,gro|thi,subtle+strong,0.5,thoughtful growth
gro^0.3+thi^0.8,subtle gro with intense thi,gro^0.3+thi^0.8 = subtle gro with intense thi,Composite,gro|thi,subtle+intense,0.55,thoughtful growth
gro^0.3+thi^0.9,subtle gro with extreme thi,gro^0.3+thi^0.9 = subtle gro with extreme thi,Composite,gro|thi,subtle+extreme,0.6,thoughtful growth
gro^0.3+thi^1.0,subtle gro with maximum thi,gro^0.3+thi^1.0 = subtle gro with maximum thi,Composite,gro|thi,subtle+maximum,0.65,thoughtful growth
gro^0.5+thi^0.7,moderate gro with strong thi,gro^0.5+thi^0.7 = moderate gro with strong thi,Composite,gro|thi,moderate+strong,0.6,thoughtful growth
gro^0.5+thi^0.8,moderate gro with intense thi,gro^0.5+thi^0.8 = moderate gro with intense thi,Composite,gro|thi,moderate+intense,0.65,thoughtful growth
gro^0.5+thi^0.9,moderate gro with extreme thi,gro^0.5+thi^0.9 = moderate gro with extreme thi,Composite,gro|thi,moderate+extreme,0.7,thoughtful growth
gro^0.5+thi^1.0,moderate gro with maximum thi,gro^0.5+thi^1.0 = moderate gro with maximum thi,Composite,gro|thi,moderate+maximum,0.75,thoughtful growth
exp^0.1+joy^0.7,minimal exp with strong joy,exp^0.1+joy^0.7 = minimal exp with strong joy,Composite,exp|joy,minimal+strong,0.39999999999999997,joyful expansion
exp^0.1+joy^0.8,minimal exp with intense joy,exp^0.1+joy^0.8 = minimal exp with intense joy,Composite,exp|joy,minimal+intense,0.45,joyful expansion
exp^0.1+joy^0.9,minimal exp with extreme joy,exp^0.1+joy^0.9 = minimal exp with extreme joy,Composite,exp|joy,minimal+extreme,0.5,joyful expansion
exp^0.1+joy^1.0,minimal exp with maximum joy,exp^0.1+joy^1.0 = minimal exp with maximum joy,Composite,exp|joy,minimal+maximum,0.55,joyful expansion
exp^0.2+joy^0.7,slight exp with strong joy,exp^0.2+joy^0.7 = slight exp with strong joy,Composite,exp|joy,slight+strong,0.44999999999999996,joyful expansion
exp^0.2+joy^0.8,slight exp with intense joy,exp^0.2+joy^0.8 = slight exp with intense joy,Composite,exp|joy,slight+intense,0.5,joyful expansion
exp^0.2+joy^0.9,slight exp with extreme joy,exp^0.2+joy^0.9 = slight exp with extreme joy,Composite,exp|joy,slight+extreme,0.55,joyful expansion
exp^0.2+joy^1.0,slight exp with maximum joy,exp^0.2+joy^1.0 = slight exp with maximum joy,Composite,exp|joy,slight+maximum,0.6,joyful expansion
exp^0.3+joy^0.7,subtle exp with strong joy,exp^0.3+joy^0.7 = subtle exp with strong joy,Composite,exp|joy,subtle+strong,0.5,joyful expansion
exp^0.3+joy^0.8,subtle exp with intense joy,exp^0.3+joy^0.8 = subtle exp with intense joy,Composite,exp|joy,subtle+intense,0.55,joyful expansion
exp^0.3+joy^0.9,subtle exp with extreme joy,exp^0.3+joy^0.9 = subtle exp with extreme joy,Composite,exp|joy,subtle+extreme,0.6,joyful expansion
exp^0.3+joy^1.0,subtle exp with maximum joy,exp^0.3+joy^1.0 = subtle exp with maximum joy,Composite,exp|joy,subtle+maximum,0.65,joyful expansion
exp^0.5+joy^0.7,moderate exp with strong joy,exp^0.5+joy^0.7 = moderate exp with strong joy,Composite,exp|joy,moderate+strong,0.6,joyful expansion
exp^0.5+joy^0.8,moderate exp with intense joy,exp^0.5+joy^0.8 = moderate exp with intense joy,Composite,exp|joy,moderate+intense,0.65,joyful expansion
exp^0.5+joy^0.9,moderate exp with extreme joy,exp^0.5+joy^0.9 = moderate exp with extreme joy,Composite,exp|joy,moderate+extreme,0.7,joyful expansion
exp^0.5+joy^1.0,moderate exp with maximum joy,exp^0.5+joy^1.0 = moderate exp with maximum joy,Composite,exp|joy,moderate+maximum,0.75,joyful expansion
dec^0.1+sad^0.7,minimal dec with strong sad,dec^0.1+sad^0.7 = minimal dec with strong sad,Composite,dec|sad,minimal+strong,0.39999999999999997,sad decline
dec^0.1+sad^0.8,minimal dec with intense sad,dec^0.1+sad^0.8 = minimal dec with intense sad,Composite,dec|sad,minimal+intense,0.45,sad decline
dec^0.1+sad^0.9,minimal dec with extreme sad,dec^0.1+sad^0.9 = minimal dec with extreme sad,Composite,dec|sad,minimal+extreme,0.5,sad decline
dec^0.1+sad^1.0,minimal dec with maximum sad,dec^0.1+sad^1.0 = minimal dec with maximum sad,Composite,dec|sad,minimal+maximum,0.55,sad decline
dec^0.2+sad^0.7,slight dec with strong sad,dec^0.2+sad^0.7 = slight dec with strong sad,Composite,dec|sad,slight+strong,0.44999999999999996,sad decline
dec^0.2+sad^0.8,slight dec with intense sad,dec^0.2+sad^0.8 = slight dec with intense sad,Composite,dec|sad,slight+intense,0.5,sad decline
dec^0.2+sad^0.9,slight dec with extreme sad,dec^0.2+sad^0.9 = slight dec with extreme sad,Composite,dec|sad,slight+extreme,0.55,sad decline
dec^0.2+sad^1.0,slight dec with maximum sad,dec^0.2+sad^1.0 = slight dec with maximum sad,Composite,dec|sad,slight+maximum,0.6,sad decline
dec^0.3+sad^0.7,subtle dec with strong sad,dec^0.3+sad^0.7 = subtle dec with strong sad,Composite,dec|sad,subtle+strong,0.5,sad decline
dec^0.3+sad^0.8,subtle dec with intense sad,dec^0.3+sad^0.8 = subtle dec with intense sad,Composite,dec|sad,subtle+intense,0.55,sad decline
dec^0.3+sad^0.9,subtle dec with extreme sad,dec^0.3+sad^0.9 = subtle dec with extreme sad,Composite,dec|sad,subtle+extreme,0.6,sad decline
dec^0.3+sad^1.0,subtle dec with maximum sad,dec^0.3+sad^1.0 = subtle dec with maximum sad,Composite,dec|sad,subtle+maximum,0.65,sad decline
dec^0.5+sad^0.7,moderate dec with strong sad,dec^0.5+sad^0.7 = moderate dec with strong sad,Composite,dec|sad,moderate+strong,0.6,sad decline
dec^0.5+sad^0.8,moderate dec with intense sad,dec^0.5+sad^0.8 = moderate dec with intense sad,Composite,dec|sad,moderate+intense,0.65,sad decline
dec^0.5+sad^0.9,moderate dec with extreme sad,dec^0.5+sad^0.9 = moderate dec with extreme sad,Composite,dec|sad,moderate+extreme,0.7,sad decline
dec^0.5+sad^1.0,moderate dec with maximum sad,dec^0.5+sad^1.0 = moderate dec with maximum sad,Composite,dec|sad,moderate+maximum,0.75,sad decline
ris^0.1+hop^0.7,minimal ris with strong hop,ris^0.1+hop^0.7 = minimal ris with strong hop,Composite,ris|hop,minimal+strong,0.39999999999999997,hopeful rising
ris^0.1+hop^0.8,minimal ris with intense hop,ris^0.1+hop^0.8 = minimal ris with intense hop,Composite,ris|hop,minimal+intense,0.45,hopeful rising
ris^0.1+hop^0.9,minimal ris with extreme hop,ris^0.1+hop^0.9 = minimal ris with extreme hop,Composite,ris|hop,minimal+extreme,0.5,hopeful rising
ris^0.1+hop^1.0,minimal ris with maximum hop,ris^0.1+hop^1.0 = minimal ris with maximum hop,Composite,ris|hop,minimal+maximum,0.55,hopeful rising
ris^0.2+hop^0.7,slight ris with strong hop,ris^0.2+hop^0.7 = slight ris with strong hop,Composite,ris|hop,slight+strong,0.44999999999999996,hopeful rising
ris^0.2+hop^0.8,slight ris with intense hop,ris^0.2+hop^0.8 = slight ris with intense hop,Composite,ris|hop,slight+intense,0.5,hopeful rising
ris^0.2+hop^0.9,slight ris with extreme hop,ris^0.2+hop^0.9 = slight ris with extreme hop,Composite,ris|hop,slight+extreme,0.55,hopeful rising
ris^0.2+hop^1.0,slight ris with maximum hop,ris^0.2+hop^1.0 = slight ris with maximum hop,Composite,ris|hop,slight+maximum,0.6,hopeful rising
ris^0.3+hop^0.7,subtle ris with strong hop,ris^0.3+hop^0.7 = subtle ris with strong hop,Composite,ris|hop,subtle+strong,0.5,hopeful rising
ris^0.3+hop^0.8,subtle ris with intense hop,ris^0.3+hop^0.8 = subtle ris with intense hop,Composite,ris|hop,subtle+intense,0.55,hopeful rising
ris^0.3+hop^0.9,subtle ris with extreme hop,ris^0.3+hop^0.9 = subtle ris with extreme hop,Composite,ris|hop,subtle+extreme,0.6,hopeful rising
ris^0.3+hop^1.0,subtle ris with maximum hop,ris^0.3+hop^1.0 = subtle ris with maximum hop,Composite,ris|hop,subtle+maximum,0.65,hopeful rising
ris^0.5+hop^0.7,moderate ris with strong hop,ris^0.5+hop^0.7 = moderate ris with strong hop,Composite,ris|hop,moderate+strong,0.6,hopeful rising
ris^0.5+hop^0.8,moderate ris with intense hop,ris^0.5+hop^0.8 = moderate ris with intense hop,Composite,ris|hop,moderate+intense,0.65,hopeful rising
ris^0.5+hop^0.9,moderate ris with extreme hop,ris^0.5+hop^0.9 = moderate ris with extreme hop,Composite,ris|hop,moderate+extreme,0.7,hopeful rising
ris^0.5+hop^1.0,moderate ris with maximum hop,ris^0.5+hop^1.0 = moderate ris with maximum hop,Composite,ris|hop,moderate+maximum,0.75,hopeful rising
fal^0.1+des^0.7,minimal fal with strong des,fal^0.1+des^0.7 = minimal fal with strong des,Composite,fal|des,minimal+strong,0.39999999999999997,despairing fall
fal^0.1+des^0.8,minimal fal with intense des,fal^0.1+des^0.8 = minimal fal with intense des,Composite,fal|des,minimal+intense,0.45,despairing fall
fal^0.1+des^0.9,minimal fal with extreme des,fal^0.1+des^0.9 = minimal fal with extreme des,Composite,fal|des,minimal+extreme,0.5,despairing fall
fal^0.1+des^1.0,minimal fal with maximum des,fal^0.1+des^1.0 = minimal fal with maximum des,Composite,fal|des,minimal+maximum,0.55,despairing fall
fal^0.2+des^0.7,slight fal with strong des,fal^0.2+des^0.7 = slight fal with strong des,Composite,fal|des,slight+strong,0.44999999999999996,despairing fall
fal^0.2+des^0.8,slight fal with intense des,fal^0.2+des^0.8 = slight fal with intense des,Composite,fal|des,slight+intense,0.5,despairing fall
fal^0.2+des^0.9,slight fal with extreme des,fal^0.2+des^0.9 = slight fal with extreme des,Composite,fal|des,slight+extreme,0.55,despairing fall
fal^0.2+des^1.0,slight fal with maximum des,fal^0.2+des^1.0 = slight fal with maximum des,Composite,fal|des,slight+maximum,0.6,despairing fall
fal^0.3+des^0.7,subtle fal with strong des,fal^0.3+des^0.7 = subtle fal with strong des,Composite,fal|des,subtle+strong,0.5,despairing fall
fal^0.3+des^0.8,subtle fal with intense des,fal^0.3+des^0.8 = subtle fal with intense des,Composite,fal|des,subtle+intense,0.55,despairing fall
fal^0.3+des^0.9,subtle fal with extreme des,fal^0.3+des^0.9 = subtle fal with extreme des,Composite,fal|des,subtle+extreme,0.6,despairing fall
fal^0.3+des^1.0,subtle fal with maximum des,fal^0.3+des^1.0 = subtle fal with maximum des,Composite,fal|des,subtle+maximum,0.65,despairing fall
fal^0.5+des^0.7,moderate fal with strong des,fal^0.5+des^0.7 = moderate fal with strong des,Composite,fal|des,moderate+strong,0.6,despairing fall
fal^0.5+des^0.8,moderate fal with intense des,fal^0.5+des^0.8 = moderate fal with intense des,Composite,fal|des,moderate+intense,0.65,despairing fall
fal^0.5+des^0.9,moderate fal with extreme des,fal^0.5+des^0.9 = moderate fal with extreme des,Composite,fal|des,moderate+extreme,0.7,despairing fall
fal^0.5+des^1.0,moderate fal with maximum des,fal^0.5+des^1.0 = moderate fal with maximum des,Composite,fal|des,moderate+maximum,0.75,despairing fall
eas^0.1+use^0.7,minimal eas with strong use,eas^0.1+use^0.7 = minimal eas with strong use,Composite,eas|use,minimal+strong,0.39999999999999997,usefully easy
eas^0.1+use^0.8,minimal eas with intense use,eas^0.1+use^0.8 = minimal eas with intense use,Composite,eas|use,minimal+intense,0.45,usefully easy
eas^0.1+use^0.9,minimal eas with extreme use,eas^0.1+use^0.9 = minimal eas with extreme use,Composite,eas|use,minimal+extreme,0.5,usefully easy
eas^0.1+use^1.0,minimal eas with maximum use,eas^0.1+use^1.0 = minimal eas with maximum use,Composite,eas|use,minimal+maximum,0.55,usefully easy
eas^0.2+use^0.7,slight eas with strong use,eas^0.2+use^0.7 = slight eas with strong use,Composite,eas|use,slight+strong,0.44999999999999996,usefully easy
eas^0.2+use^0.8,slight eas with intense use,eas^0.2+use^0.8 = slight eas with intense use,Composite,eas|use,slight+intense,0.5,usefully easy
eas^0.2+use^0.9,slight eas with extreme use,eas^0.2+use^0.9 = slight eas with extreme use,Composite,eas|use,slight+extreme,0.55,usefully easy
eas^0.2+use^1.0,slight eas with maximum use,eas^0.2+use^1.0 = slight eas with maximum use,Composite,eas|use,slight+maximum,0.6,usefully easy
eas^0.3+use^0.7,subtle eas with strong use,eas^0.3+use^0.7 = subtle eas with strong use,Composite,eas|use,subtle+strong,0.5,usefully easy
eas^0.3+use^0.8,subtle eas with intense use,eas^0.3+use^0.8 = subtle eas with intense use,Composite,eas|use,subtle+intense,0.55,usefully easy
eas^0.3+use^0.9,subtle eas with extreme use,eas^0.3+use^0.9 = subtle eas with extreme use,Composite,eas|use,subtle+extreme,0.6,usefully easy
eas^0.3+use^1.0,subtle eas with maximum use,eas^0.3+use^1.0 = subtle eas with maximum use,Composite,eas|use,subtle+maximum,0.65,usefully easy
eas^0.5+use^0.7,moderate eas with strong use,eas^0.5+use^0.7 = moderate eas with strong use,Composite,eas|use,moderate+strong,0.6,usefully easy
eas^0.5+use^0.8,moderate eas with intense use,eas^0.5+use^0.8 = moderate eas with intense use,Composite,eas|use,moderate+intense,0.65,usefully easy
eas^0.5+use^0.9,moderate eas with extreme use,eas^0.5+use^0.9 = moderate eas with extreme use,Composite,eas|use,moderate+extreme,0.7,usefully easy
eas^0.5+use^1.0,moderate eas with maximum use,eas^0.5+use^1.0 = moderate eas with maximum use,Composite,eas|use,moderate+maximum,0.75,usefully easy
val^0.1+rea^0.7,minimal val with strong rea,val^0.1+rea^0.7 = minimal val with strong rea,Composite,val|rea,minimal+strong,0.39999999999999997,real value
val^0.1+rea^0.8,minimal val with intense rea,val^0.1+rea^0.8 = minimal val with intense rea,Composite,val|rea,minimal+intense,0.45,real value
val^0.1+rea^0.9,minimal val with extreme rea,val^0.1+rea^0.9 = minimal val with extreme rea,Composite,val|rea,minimal+extreme,0.5,real value
val^0.1+rea^1.0,minimal val with maximum rea,val^0.1+rea^1.0 = minimal val with maximum rea,Composite,val|rea,minimal+maximum,0.55,real value
val^0.2+rea^0.7,slight val with strong rea,val^0.2+rea^0.7 = slight val with strong rea,Composite,val|rea,slight+strong,0.44999999999999996,real value
val^0.2+rea^0.8,slight val with intense rea,val^0.2+rea^0.8 = slight val with intense rea,Composite,val|rea,slight+intense,0.5,real value
val^0.2+rea^0.9,slight val with extreme rea,val^0.2+rea^0.9 = slight val with extreme rea,Composite,val|rea,slight+extreme,0.55,real value
val^0.2+rea^1.0,slight val with maximum rea,val^0.2+rea^1.0 = slight val with maximum rea,Composite,val|rea,slight+maximum,0.6,real value
val^0.3+rea^0.7,subtle val with strong rea,val^0.3+rea^0.7 = subtle val with strong rea,Composite,val|rea,subtle+strong,0.5,real value
val^0.3+rea^0.8,subtle val with intense rea,val^0.3+rea^0.8 = subtle val with intense rea,Composite,val|rea,subtle+intense,0.55,real value
val^0.3+rea^0.9,subtle val with extreme rea,val^0.3+rea^0.9 = subtle val with extreme rea,Composite,val|rea,subtle+extreme,0.6,real value
val^0.3+rea^1.0,subtle val with maximum rea,val^0.3+rea^1.0 = subtle val with maximum rea,Composite,val|rea,subtle+maximum,0.65,real value
val^0.5+rea^0.7,moderate val with strong rea,val^0.5+rea^0.7 = moderate val with strong rea,Composite,val|rea,moderate+strong,0.6,real value
val^0.5+rea^0.8,moderate val with intense rea,val^0.5+rea^0.8 = moderate val with intense rea,Composite,val|rea,moderate+intense,0.65,real value
val^0.5+rea^0.9,moderate val with extreme rea,val^0.5+rea^0.9 = moderate val with extreme rea,Composite,val|rea,moderate+extreme,0.7,real value
val^0.5+rea^1.0,moderate val with maximum rea,val^0.5+rea^1.0 = moderate val with maximum rea,Composite,val|rea,moderate+maximum,0.75,real value
nu hot^0.3,negated/not subtle hot,nu hot^0.3 = negated/not subtle hot,Negation,hot,subtle,0.3,negation operator
nu hot^0.5,negated/not moderate hot,nu hot^0.5 = negated/not moderate hot,Negation,hot,moderate,0.5,negation operator
nu hot^0.7,negated/not strong hot,nu hot^0.7 = negated/not strong hot,Negation,hot,strong,0.7,negation operator
nu hot^0.8,negated/not intense hot,nu hot^0.8 = negated/not intense hot,Negation,hot,intense,0.8,negation operator
nu hot^0.9,negated/not extreme hot,nu hot^0.9 = negated/not extreme hot,Negation,hot,extreme,0.9,negation operator
nu col^0.3,negated/not subtle col,nu col^0.3 = negated/not subtle col,Negation,col,subtle,0.3,negation operator
nu col^0.5,negated/not moderate col,nu col^0.5 = negated/not moderate col,Negation,col,moderate,0.5,negation operator
nu col^0.7,negated/not strong col,nu col^0.7 = negated/not strong col,Negation,col,strong,0.7,negation operator
nu col^0.8,negated/not intense col,nu col^0.8 = negated/not intense col,Negation,col,intense,0.8,negation operator
nu col^0.9,negated/not extreme col,nu col^0.9 = negated/not extreme col,Negation,col,extreme,0.9,negation operator
nu joy^0.3,negated/not subtle joy,nu joy^0.3 = negated/not subtle joy,Negation,joy,subtle,0.3,negation operator
nu joy^0.5,negated/not moderate joy,nu joy^0.5 = negated/not moderate joy,Negation,joy,moderate,0.5,negation operator
nu joy^0.7,negated/not strong joy,nu joy^0.7 = negated/not strong joy,Negation,joy,strong,0.7,negation operator
nu joy^0.8,negated/not intense joy,nu joy^0.8 = negated/not intense joy,Negation,joy,intense,0.8,negation operator
nu joy^0.9,negated/not extreme joy,nu joy^0.9 = negated/not extreme joy,Negation,joy,extreme,0.9,negation operator
nu sad^0.3,negated/not subtle sad,nu sad^0.3 = negated/not subtle sad,Negation,sad,subtle,0.3,negation operator
nu sad^0.5,negated/not moderate sad,nu sad^0.5 = negated/not moderate sad,Negation,sad,moderate,0.5,negation operator
nu sad^0.7,negated/not strong sad,nu sad^0.7 = negated/not strong sad,Negation,sad,strong,0.7,negation operator
nu sad^0.8,negated/not intense sad,nu sad^0.8 = negated/not intense sad,Negation,sad,intense,0.8,negation operator
nu sad^0.9,negated/not extreme sad,nu sad^0.9 = negated/not extreme sad,Negation,sad,extreme,0.9,negation operator
nu tru^0.3,negated/not subtle tru,nu tru^0.3 = negated/not subtle tru,Negation,tru,subtle,0.3,negation operator
nu tru^0.5,negated/not moderate tru,nu tru^0.5 = negated/not moderate tru,Negation,tru,moderate,0.5,negation operator
nu tru^0.7,negated/not strong tru,nu tru^0.7 = negated/not strong tru,Negation,tru,strong,0.7,negation operator
nu tru^0.8,negated/not intense tru,nu tru^0.8 = negated/not intense tru,Negation,tru,intense,0.8,negation operator
nu tru^0.9,negated/not extreme tru,nu tru^0.9 = negated/not extreme tru,Negation,tru,extreme,0.9,negation operator
nu use^0.3,negated/not subtle use,nu use^0.3 = negated/not subtle use,Negation,use,subtle,0.3,negation operator
nu use^0.5,negated/not moderate use,nu use^0.5 = negated/not moderate use,Negation,use,moderate,0.5,negation operator
nu use^0.7,negated/not strong use,nu use^0.7 = negated/not strong use,Negation,use,strong,0.7,negation operator
nu use^0.8,negated/not intense use,nu use^0.8 = negated/not intense use,Negation,use,intense,0.8,negation operator
nu use^0.9,negated/not extreme use,nu use^0.9 = negated/not extreme use,Negation,use,extreme,0.9,negation operator
nu rea^0.3,negated/not subtle rea,nu rea^0.3 = negated/not subtle rea,Negation,rea,subtle,0.3,negation operator
nu rea^0.5,negated/not moderate rea,nu rea^0.5 = negated/not moderate rea,Negation,rea,moderate,0.5,negation operator
nu rea^0.7,negated/not strong rea,nu rea^0.7 = negated/not strong rea,Negation,rea,strong,0.7,negation operator
nu rea^0.8,negated/not intense rea,nu rea^0.8 = negated/not intense rea,Negation,rea,intense,0.8,negation operator
nu rea^0.9,negated/not extreme rea,nu rea^0.9 = negated/not extreme rea,Negation,rea,extreme,0.9,negation operator
nu goo^0.3,negated/not subtle goo,nu goo^0.3 = negated/not subtle goo,Negation,goo,subtle,0.3,negation operator
nu goo^0.5,negated/not moderate goo,nu goo^0.5 = negated/not moderate goo,Negation,goo,moderate,0.5,negation operator
nu goo^0.7,negated/not strong goo,nu goo^0.7 = negated/not strong goo,Negation,goo,strong,0.7,negation operator
nu goo^0.8,negated/not intense goo,nu goo^0.8 = negated/not intense goo,Negation,goo,intense,0.8,negation operator
nu goo^0.9,negated/not extreme goo,nu goo^0.9 = negated/not extreme goo,Negation,goo,extreme,0.9,negation operator
nu hea^0.3,negated/not subtle hea,nu hea^0.3 = negated/not subtle hea,Negation,hea,subtle,0.3,negation operator
nu hea^0.5,negated/not moderate hea,nu hea^0.5 = negated/not moderate hea,Negation,hea,moderate,0.5,negation operator
nu hea^0.7,negated/not strong hea,nu hea^0.7 = negated/not strong hea,Negation,hea,strong,0.7,negation operator
nu hea^0.8,negated/not intense hea,nu hea^0.8 = negated/not intense hea,Negation,hea,intense,0.8,negation operator
nu hea^0.9,negated/not extreme hea,nu hea^0.9 = negated/not extreme hea,Negation,hea,extreme,0.9,negation operator
nu str^0.3,negated/not subtle str,nu str^0.3 = negated/not subtle str,Negation,str,subtle,0.3,negation operator
nu str^0.5,negated/not moderate str,nu str^0.5 = negated/not moderate str,Negation,str,moderate,0.5,negation operator
nu str^0.7,negated/not strong str,nu str^0.7 = negated/not strong str,Negation,str,strong,0.7,negation operator
nu str^0.8,negated/not intense str,nu str^0.8 = negated/not intense str,Negation,str,intense,0.8,negation operator
nu str^0.9,negated/not extreme str,nu str^0.9 = negated/not extreme str,Negation,str,extreme,0.9,negation operator
nu awa^0.3,negated/not subtle awa,nu awa^0.3 = negated/not subtle awa,Negation,awa,subtle,0.3,negation operator
nu awa^0.5,negated/not moderate awa,nu awa^0.5 = negated/not moderate awa,Negation,awa,moderate,0.5,negation operator
nu awa^0.7,negated/not strong awa,nu awa^0.7 = negated/not strong awa,Negation,awa,strong,0.7,negation operator
nu awa^0.8,negated/not intense awa,nu awa^0.8 = negated/not intense awa,Negation,awa,intense,0.8,negation operator
nu awa^0.9,negated/not extreme awa,nu awa^0.9 = negated/not extreme awa,Negation,awa,extreme,0.9,negation operator
nu kno^0.3,negated/not subtle kno,nu kno^0.3 = negated/not subtle kno,Negation,kno,subtle,0.3,negation operator
nu kno^0.5,negated/not moderate kno,nu kno^0.5 = negated/not moderate kno,Negation,kno,moderate,0.5,negation operator
nu kno^0.7,negated/not strong kno,nu kno^0.7 = negated/not strong kno,Negation,kno,strong,0.7,negation operator
nu kno^0.8,negated/not intense kno,nu kno^0.8 = negated/not intense kno,Negation,kno,intense,0.8,negation operator
nu kno^0.9,negated/not extreme kno,nu kno^0.9 = negated/not extreme kno,Negation,kno,extreme,0.9,negation operator
nu lov^0.3,negated/not subtle lov,nu lov^0.3 = negated/not subtle lov,Negation,lov,subtle,0.3,negation operator
nu lov^0.5,negated/not moderate lov,nu lov^0.5 = negated/not moderate lov,Negation,lov,moderate,0.5,negation operator
nu lov^0.7,negated/not strong lov,nu lov^0.7 = negated/not strong lov,Negation,lov,strong,0.7,negation operator
nu lov^0.8,negated/not intense lov,nu lov^0.8 = negated/not intense lov,Negation,lov,intense,0.8,negation operator
nu lov^0.9,negated/not extreme lov,nu lov^0.9 = negated/not extreme lov,Negation,lov,extreme,0.9,negation operator
nu hop^0.3,negated/not subtle hop,nu hop^0.3 = negated/not subtle hop,Negation,hop,subtle,0.3,negation operator
nu hop^0.5,negated/not moderate hop,nu hop^0.5 = negated/not moderate hop,Negation,hop,moderate,0.5,negation operator
nu hop^0.7,negated/not strong hop,nu hop^0.7 = negated/not strong hop,Negation,hop,strong,0.7,negation operator
nu hop^0.8,negated/not intense hop,nu hop^0.8 = negated/not intense hop,Negation,hop,intense,0.8,negation operator
nu hop^0.9,negated/not extreme hop,nu hop^0.9 = negated/not extreme hop,Negation,hop,extreme,0.9,negation operator
nu eas^0.3,negated/not subtle eas,nu eas^0.3 = negated/not subtle eas,Negation,eas,subtle,0.3,negation operator
nu eas^0.5,negated/not moderate eas,nu eas^0.5 = negated/not moderate eas,Negation,eas,moderate,0.5,negation operator
nu eas^0.7,negated/not strong eas,nu eas^0.7 = negated/not strong eas,Negation,eas,strong,0.7,negation operator
nu eas^0.8,negated/not intense eas,nu eas^0.8 = negated/not intense eas,Negation,eas,intense,0.8,negation operator
nu eas^0.9,negated/not extreme eas,nu eas^0.9 = negated/not extreme eas,Negation,eas,extreme,0.9,negation operator
nu awa^0.3,negated/not subtle awa,nu awa^0.3 = negated/not subtle awa,Negation,awa,subtle,0.3,negation operator
nu awa^0.5,negated/not moderate awa,nu awa^0.5 = negated/not moderate awa,Negation,awa,moderate,0.5,negation operator
nu awa^0.7,negated/not strong awa,nu awa^0.7 = negated/not strong awa,Negation,awa,strong,0.7,negation operator
nu awa^0.8,negated/not intense awa,nu awa^0.8 = negated/not intense awa,Negation,awa,intense,0.8,negation operator
nu awa^0.9,negated/not extreme awa,nu awa^0.9 = negated/not extreme awa,Negation,awa,extreme,0.9,negation operator
ve mag^0.1,prototypical/narrow minimal mag,ve mag^0.1 = prototypical/narrow minimal mag,Modifiers,mag,minimal,0.1,narrowing (ve) operator
so mag^0.1,peripheral/broad minimal mag,so mag^0.1 = peripheral/broad minimal mag,Modifiers,mag,minimal,0.1,broadening (so) operator
ve mag^0.2,prototypical/narrow slight mag,ve mag^0.2 = prototypical/narrow slight mag,Modifiers,mag,slight,0.2,narrowing (ve) operator
so mag^0.2,peripheral/broad slight mag,so mag^0.2 = peripheral/broad slight mag,Modifiers,mag,slight,0.2,broadening (so) operator
ve mag^0.3,prototypical/narrow subtle mag,ve mag^0.3 = prototypical/narrow subtle mag,Modifiers,mag,subtle,0.3,narrowing (ve) operator
so mag^0.3,peripheral/broad subtle mag,so mag^0.3 = peripheral/broad subtle mag,Modifiers,mag,subtle,0.3,broadening (so) operator
ve mag^0.5,prototypical/narrow moderate mag,ve mag^0.5 = prototypical/narrow moderate mag,Modifiers,mag,moderate,0.5,narrowing (ve) operator
so mag^0.5,peripheral/broad moderate mag,so mag^0.5 = peripheral/broad moderate mag,Modifiers,mag,moderate,0.5,broadening (so) operator
ve mag^0.7,prototypical/narrow strong mag,ve mag^0.7 = prototypical/narrow strong mag,Modifiers,mag,strong,0.7,narrowing (ve) operator
so mag^0.7,peripheral/broad strong mag,so mag^0.7 = peripheral/broad strong mag,Modifiers,mag,strong,0.7,broadening (so) operator
ve mag^0.8,prototypical/narrow intense mag,ve mag^0.8 = prototypical/narrow intense mag,Modifiers,mag,intense,0.8,narrowing (ve) operator
so mag^0.8,peripheral/broad intense mag,so mag^0.8 = peripheral/broad intense mag,Modifiers,mag,intense,0.8,broadening (so) operator
ve mag^0.9,prototypical/narrow extreme mag,ve mag^0.9 = prototypical/narrow extreme mag,Modifiers,mag,extreme,0.9,narrowing (ve) operator
so mag^0.9,peripheral/broad extreme mag,so mag^0.9 = peripheral/broad extreme mag,Modifiers,mag,extreme,0.9,broadening (so) operator
ve mag^1.0,prototypical/narrow maximum mag,ve mag^1.0 = prototypical/narrow maximum mag,Modifiers,mag,maximum,1.0,narrowing (ve) operator
